Designator,Mid X,Mid Y,Layer,Rotation
C1,35.179178,-67.604887,bottom,-160
C2,36.793068,-74.851808,bottom,-25
C3,33.618669,-73.959792,bottom,20
C4,31.862482,-67.827435,bottom,110
C5,28.858671,-72.317593,bottom,110
C6,38.203708,-74.800874,bottom,65
C7,37.562697,-76.975524,bottom,110
C8,30.627365,-77.009727,bottom,-160
C9,31.606958,-73.904828,bottom,-160
C10,23.527724,-72.905644,bottom,65
C11,27.527692,-70.599077,bottom,65
C24,25.510268,-77.630464,bottom,-25
C25,27.020518,-82.939632,bottom,155
C26,38.871838,-83.095667,bottom,20
C27,44.856767,-79.366978,bottom,-160
C28,22.945362,-58.524345,bottom,110
C29,27.612135,-84.373993,bottom,16
C30,49.087181,-66.906696,bottom,65
C31,42.108403,-67.794208,bottom,-25
C34,39.462277,-68.035077,bottom,20
C35,40.161281,-67.31126,bottom,-160
C36,37.154733,-67.345697,bottom,20
C37,37.535578,-66.50608,bottom,-160
C38,35.235118,-62.282588,bottom,-70
C39,36.152411,-62.450022,bottom,110
C40,33.428121,-64.559596,bottom,110
C41,34.387676,-64.81766,bottom,-70
C42,33.301824,-62.632409,bottom,-160
C43,35.065583,-63.575359,bottom,20
C44,35.336499,-66.759163,bottom,-160
C45,35.675081,-65.828915,bottom,20
C46,43.550335,-60.568409,bottom,-160
C47,44.065732,-59.687467,bottom,20
C48,44.953135,-70.108835,bottom,65
C49,40.102311,-69.171015,bottom,-25
C50,30.246758,-56.55404,bottom,-115
C51,27.527835,-57.821894,bottom,-115
C52,33.586614,-59.741164,bottom,-25
C53,27.33949,-61.44053,bottom,-25
C54,33.121734,-58.744226,bottom,155
C55,27.822496,-62.429016,bottom,155
C56,26.530896,-58.286774,bottom,-115
C57,26.663301,-59.990438,bottom,-25
C58,25.533958,-58.751655,bottom,-115
C59,32.249088,-55.642406,bottom,65
C60,31.243697,-56.089159,bottom,-115
C61,32.463671,-57.285681,bottom,155
D13,32.202291,-83.226608,bottom,20
D14,46.130478,-62.222368,bottom,-25
FB1,30.35083,-72.394152,bottom,-70
TFB1,30.35083,-30.394152,bottom,-70
J1,49.932334,-76.172668,bottom,110
J2,19.456027,-78.246847,bottom,-115
L1,34.472885,-81.174772,bottom,20
L2,31.220765,-59.589285,bottom,-115
L3,29.125692,-60.53865,bottom,65
Li-po1,36.662866,-86.166977,bottom,110
ME4055A1,29.424248,-80.108518,bottom,-115
Q1,44.069917,-84.423248,bottom,110
R1,44.61138,-81.798497,bottom,-160
R2,46.960941,-83.406155,bottom,110
R3,39.200646,-74.335994,bottom,65
R4,24.423186,-76.482311,bottom,-25
R5,24.000568,-75.576003,bottom,155
R6,41.130524,-85.573234,bottom,-70
R7,31.865172,-79.190973,bottom,65
R8,43.700674,-76.651108,bottom,-160
R9,41.966474,-77.90113,bottom,-160
R10,23.225438,-61.372864,bottom,110
R11,21.694364,-60.100735,bottom,-70
R12,30.153938,-84.512784,bottom,16
R13,25.662095,-85.172973,bottom,-70
R14,50.124709,-69.131682,bottom,65
R15,51.804432,-68.238076,bottom,155
R16,41.324976,-81.731075,bottom,-70
R17,42.95633,-80.970362,bottom,-70
R18,45.054391,-64.765405,bottom,110
SW1,29.615284,-87.85342,bottom,16
SW2,51.146846,-63.46131,bottom,-115
SW3,18.627209,-64.289418,bottom,111
TC1,35.179178,-25.604887,bottom,-160
TC2,36.793068,-32.851808,bottom,-25
TC3,33.618669,-31.959792,bottom,20
TC4,31.862482,-25.827435,bottom,110
TC5,28.858671,-30.317593,bottom,110
TC6,38.203708,-32.800874,bottom,65
TC7,37.562697,-34.975524,bottom,110
TC8,30.627365,-35.009727,bottom,160
TC9,31.606958,-31.904828,bottom,-160
TC10,23.527724,-30.905644,bottom,65
TC11,27.527692,-28.599077,bottom,65
TC24,25.510268,-35.630464,bottom,-25
TC25,27.020518,-40.939632,bottom,155
TC26,38.871838,-41.095667,bottom,20
TC27,44.856767,-37.366978,bottom,-160
TC28,22.945362,-16.524345,bottom,110
TC29,27.612135,-42.373993,bottom,16
TC30,49.087181,-24.906696,bottom,65
TC31,42.108403,-25.794208,bottom,-25
TC34,39.462277,-26.035077,bottom,20
TC35,40.161281,-25.31126,bottom,-160
TC36,37.154733,-25.345697,bottom,20
TC37,37.535578,-24.50608,bottom,-160
TC38,35.235118,-20.282588,bottom,-70
TC39,36.152411,-20.450022,bottom,110
TC40,33.428121,-22.559596,bottom,110
TC41,34.387676,-22.81766,bottom,-70
TC42,33.301824,-20.632409,bottom,-160
TC43,35.065583,-21.575359,bottom,20
TC44,35.336499,-24.759163,bottom,-160
TC45,35.675081,-23.828915,bottom,20
TC46,43.550335,-18.568409,bottom,-160
TC47,44.065732,-17.687467,bottom,20
TC48,44.953135,-28.108835,bottom,65
TC49,40.102311,-27.171015,bottom,-25
TC50,30.246758,-14.55404,bottom,-115
TC51,27.527835,-15.821894,bottom,-115
TC52,33.586614,-17.741164,bottom,-25
TC53,27.33949,-19.44053,bottom,-25
TC54,33.121734,-16.744226,bottom,155
TC55,27.822496,-20.429016,bottom,155
TC56,26.530896,-16.286774,bottom,-115
TC57,26.663301,-17.990438,bottom,-25
TC58,25.533958,-16.751655,bottom,-115
TC59,32.249088,-13.642406,bottom,65
TC60,31.243697,-14.089159,bottom,-115
TC61,32.463671,-15.285681,bottom,155
TD13,32.202291,-41.226608,bottom,20
TD14,46.130478,-20.222368,bottom,-25
TJ1,49.932334,-34.172668,bottom,110
TJ2,19.456027,-36.246847,bottom,-115
TL1,34.472885,-39.174772,bottom,20
TL2,31.220765,-17.589285,bottom,-115
TL3,29.125692,-18.53865,bottom,65
TLi-po1,36.662866,-44.166977,bottom,110
TME4055A1,29.424248,-38.108518,bottom,-115
TQ1,44.069917,-42.423248,bottom,110
TR1,44.61138,-39.798497,bottom,-160
TR2,46.960941,-41.406155,bottom,110
TR3,39.200646,-32.335994,bottom,65
TR4,24.423186,-34.482311,bottom,-25
TR5,24.000568,-33.576003,bottom,155
TR6,41.130524,-43.573234,bottom,-70
TR7,31.865172,-37.190973,bottom,65
TR8,43.700674,-34.651108,bottom,-160
TR9,41.966474,-35.90113,bottom,-160
TR10,23.225438,-19.372864,bottom,110
TR11,21.694364,-18.100735,bottom,-70
TR12,30.153938,-42.512784,bottom,16
TR13,25.662095,-43.172973,bottom,-70
TR14,50.124709,-27.131682,bottom,65
TR15,51.804432,-26.238076,bottom,155
TR16,41.324976,-39.731075,bottom,-70
TR17,42.95633,-38.970362,bottom,-70
TR18,45.054391,-22.765405,bottom,110
TSW1,29.615284,-45.85342,bottom,16
TSW2,51.2,-21.45,bottom,-115
TSW3,18.627209,-22.289418,bottom,111
TU1,34.99694,-29,bottom,-70
TU2,25.497563,-29.545742,bottom,-25
TU3,40.037573,-21.3533,bottom,-70
TU4,39.271492,-37.930185,bottom,110
TY1,42.231402,-28.660804,bottom,155
TY2,32.799569,-34.097011,bottom,-160
U1,34.99694,-71,bottom,-70
U2,25.497563,-71.545742,bottom,-25
U3,40.037573,-63.3533,bottom,-70
U4,39.271492,-79.930185,bottom,110
Y1,42.231402,-70.660804,bottom,155
Y2,32.799569,-76.097011,bottom,-160
C12,27.449662,-56.589462,top,25
C13,34.481976,-55.461827,top,25
C14,41.35013,-57.886382,top,25
C15,45.849181,-63.512085,top,25
C16,47.176155,-70.616953,top,25
C17,44.618708,-77.436738,top,25
C18,39.077528,-82.11705,top,25
C19,32.021029,-83.311131,top,25
C20,25.062245,-80.928838,top,25
C21,20.563194,-75.303135,top,25
C22,19.163715,-68.232077,top,25
C23,21.843514,-61.355239,top,25
D1,29.080284,-58.311691,top,25
D2,36.21712,-57.053274,top,25
D3,43.02701,-59.531871,top,25
D4,47.685249,-65.083344,top,25
D5,48.943666,-72.22018,top,25
D6,46.465069,-79.03007,top,25
D7,40.913596,-83.688309,top,25
D8,33.77676,-84.946726,top,25
D9,26.96687,-82.468129,top,25
D10,22.308631,-76.916656,top,25
D11,21.050214,-69.77982,top,25
D12,23.528811,-62.96993,top,25
TC12,27.449662,-14.589462,top,25
TC13,34.481976,-13.461827,top,25
TC14,41.35013,-15.886382,top,25
TC15,45.849181,-21.512085,top,25
TC16,47.176155,-28.616953,top,25
TC17,44.618708,-35.436738,top,25
TC18,39.077528,-40.11705,top,25
TC19,32.021029,-41.311131,top,25
TC20,25.062245,-38.928838,top,25
TC21,20.563194,-33.303135,top,25
TC22,19.163715,-26.232077,top,25
TC23,21.843514,-19.355239,top,25
TD1,29.080284,-16.311691,top,25
TD2,36.21712,-15.053274,top,25
TD3,43.02701,-17.531871,top,25
TD4,47.685249,-23.083344,top,25
TD5,48.943666,-30.22018,top,25
TD6,46.465069,-37.03007,top,25
TD7,40.913596,-41.688309,top,25
TD8,33.77676,-42.946726,top,25
TD9,26.96687,-40.468129,top,25
TD10,22.308631,-34.916656,top,25
TD11,21.050214,-27.77982,top,25
TD12,23.528811,-20.96993,top,25
